VendingMachine, 0.61, 0.91, 1.83
EscalatorStart, 4.41, 1.5, 2.24
EscalatorEnd, 4.27, 1.5, 2.1
Cafe_table, 0.91, 0.91, 0.77
WoodenChair, 0.4, 0.36, 0.79
SquareShelf, 0.77, 0.39, 0.77
AirportBench, 0.42, 1.09, 0.42
Barrier, 1.25, 0.2, 1.29
